2N,ARN,MHQ,SF3,Saab SF340A/B
2N,ARN,OER,ATR,Aerospatiale/Alenia ATR 42-600
2N,ARN,POR,SF3,Saab SF340A/B
2N,ARN,TRF,SF3,Saab SF340A/B
2N,ARN,VBY,SF3,Saab SF340A/B
2N,ARN,VBY,ATP,British Aerospace ATP
2N,ARN,VHM,SF3,Saab SF340A/B
2N,ARN,VXO,SF3,Saab SF340A/B
2N,GEV,ARN,ATP,British Aerospace ATP
2N,GEV,KRF,ATP,British Aerospace ATP
2N,HAD,ARN,SF3,Saab SF340A/B
2N,HAD,ARN,ATP,British Aerospace ATP
2N,HAD,JKG,ATP,British Aerospace ATP
2N,HAD,JKG,SF3,Saab SF340A/B
2N,HAD,VXO,SF3,Saab SF340A/B
2N,HMV,VHM,SF3,Saab SF340A/B
2N,JKG,ARN,ATP,British Aerospace ATP
2N,JKG,ARN,SF3,Saab SF340A/B
2N,JKG,HAD,ATP,British Aerospace ATP
2N,JKG,HAD,SF3,Saab SF340A/B
2N,KOK,POR,SF3,Saab SF340A/B
2N,KRF,ARN,ATP,British Aerospace ATP
2N,KRF,GEV,ATP,British Aerospace ATP
2N,KSD,ARN,SF3,Saab SF340A/B
2N,LYC,AJR,ATP,British Aerospace ATP
2N,LYC,ARN,ATP,British Aerospace ATP
2N,MHQ,ARN,SF3,Saab SF340A/B
2N,MHQ,TKU,SF3,Saab SF340A/B
2N,OER,ARN,ATR,Aerospatiale/Alenia ATR 42-600
2N,OSL,VXO,SF3,Saab SF340A/B
2N,POR,ARN,SF3,Saab SF340A/B
2N,POR,KOK,SF3,Saab SF340A/B
2N,TKU,MHQ,SF3,Saab SF340A/B
2N,TRF,ARN,SF3,Saab SF340A/B
2N,VBY,ARN,SF3,Saab SF340A/B
2N,VBY,ARN,ATP,British Aerospace ATP
2N,VHM,ARN,SF3,Saab SF340A/B
2N,VHM,HMV,SF3,Saab SF340A/B
2N,VXO,ARN,SF3,Saab SF340A/B
2N,VXO,OSL,SF3,Saab SF340A/B
2O,ADQ,AOS,BNI,Pilatus Britten-Norman BN-2A/B Islander
2O,ADQ,KKB,BNI,Pilatus Britten-Norman BN-2A/B Islander
2O,ADQ,KLN,BNI,Pilatus Britten-Norman BN-2A/B Islander
2O,ADQ,KOZ,BNI,Pilatus Britten-Norman BN-2A/B Islander
2O,ADQ,OLH,BNI,Pilatus Britten-Norman BN-2A/B Islander
2O,AOS,KZB,BNI,Pilatus Britten-Norman BN-2A/B Islander
2O,KKB,SYB,BNI,Pilatus Britten-Norman BN-2A/B Islander
2O,KLN,KYK,BNI,Pilatus Britten-Norman BN-2A/B Islander
2O,KOZ,ORI,BNI,Pilatus Britten-Norman BN-2A/B Islander
2O,SYB,KPR,BNI,Pilatus Britten-Norman BN-2A/B Islander
2P,BSO,MNL,DH4,De Havilland Canada DHC-8-400 Dash 8Q
2P,BXU,MNL,320,Airbus A320
2P,CBO,MNL,320,Airbus A320
2P,CGY,MNL,320,Airbus A320
2P,CRM,MNL,DH4,De Havilland Canada DHC-8-400 Dash 8Q
2P,DGT,MNL,320,Airbus A320
2P,DWC,MNL,330,Airbus A330
2P,GES,MNL,320,Airbus A320
2P,KLO,MNL,320,Airbus A320
2P,LGP,MNL,320,Airbus A320
2P,MNL,BSO,DH4,De Havilland Canada DHC-8-400 Dash 8Q
2P,MNL,BXU,320,Airbus A320
2P,MNL,CBO,320,Airbus A320
2P,MNL,CGY,320,Airbus A320
2P,MNL,CRM,DH4,De Havilland Canada DHC-8-400 Dash 8Q
2P,MNL,DGT,320,Airbus A320
2P,MNL,DWC,330,Airbus A330
2P,MNL,GES,320,Airbus A320
2P,MNL,KLO,320,Airbus A320
2P,MNL,LGP,320,Airbus A320
2P,MNL,MPH,DH3,De Havilland Canada DHC-8-300 Dash 8
2P,MNL,OZC,320,Airbus A320
2P,MNL,PPS,320,Airbus A320
2P,MNL,RXS,320,Airbus A320
2P,MNL,SUG,DH4,De Havilland Canada DHC-8-400 Dash 8Q
2P,MNL,TUG,DH4,De Havilland Canada DHC-8-400 Dash 8Q
2P,MNL,ZAM,320,Airbus A320
2P,MPH,MNL,DH3,De Havilland Canada DHC-8-300 Dash 8
2P,OZC,MNL,320,Airbus A320
2P,PPS,MNL,320,Airbus A320
2P,RXS,MNL,320,Airbus A320
2P,SUG,MNL,DH4,De Havilland Canada DHC-8-400 Dash 8Q
2P,TUG,MNL,DH4,De Havilland Canada DHC-8-400 Dash 8Q
2P,ZAM,MNL,320,Airbus A320
2Z,AUX,PMW,AT7,Aerospatiale/Alenia ATR 72
2Z,BRA,BSB,AT7,Aerospatiale/Alenia ATR 72
2Z,BRA,SSA,AT7,Aerospatiale/Alenia ATR 72
2Z,BSB,BRA,AT7,Aerospatiale/Alenia ATR 72
2Z,BSB,OPS,AT7,Aerospatiale/Alenia ATR 72
2Z,BSB,RAO,AT7,Aerospatiale/Alenia ATR 72
2Z,CAC,GRU,AT7,Aerospatiale/Alenia ATR 72
2Z,CGB,GYN,AT7,Aerospatiale/Alenia ATR 72
2Z,CGB,OPS,AT7,Aerospatiale/Alenia ATR 72
2Z,CGR,DOU,AT7,Aerospatiale/Alenia ATR 72
2Z,DOU,CGR,AT7,Aerospatiale/Alenia ATR 72
2Z,DOU,GRU,AT7,Aerospatiale/Alenia ATR 72
2Z,GIG,RAO,AT7,Aerospatiale/Alenia ATR 72
2Z,GRU,CAC,AT7,Aerospatiale/Alenia ATR 72
2Z,GRU,DOU,AT7,Aerospatiale/Alenia ATR 72
2Z,GRU,RAO,AT7,Aerospatiale/Alenia ATR 72
2Z,GRU,UBA,AT7,Aerospatiale/Alenia ATR 72
2Z,GRU,UDI,AT7,Aerospatiale/Alenia ATR 72
2Z,GRU,VDC,AT7,Aerospatiale/Alenia ATR 72
2Z,GYN,CGB,AT7,Aerospatiale/Alenia ATR 72
2Z,GYN,PMW,AT7,Aerospatiale/Alenia ATR 72
2Z,GYN,RAO,AT7,Aerospatiale/Alenia ATR 72
2Z,GYN,UDI,AT7,Aerospatiale/Alenia ATR 72
2Z,OPS,BSB,AT7,Aerospatiale/Alenia ATR 72
2Z,OPS,CGB,AT7,Aerospatiale/Alenia ATR 72
